country;category;year;value
Danemark;anninc;1971;26188.6633
Danemark;anninc;1972;27213.3818
Danemark;anninc;1973;28522.7943
Danemark;anninc;1974;26813.3711
Danemark;anninc;1975;26474.1191
Danemark;anninc;1976;28211.8583
Danemark;anninc;1977;28550.3273
Danemark;anninc;1978;29317.6625
Danemark;anninc;1979;29871.6545
Danemark;anninc;1980;28835.5609
Danemark;anninc;1981;27838.5658
Danemark;anninc;1982;28537.8411
Danemark;anninc;1983;29277.0403
Danemark;anninc;1984;30259.7822
Danemark;anninc;1985;31334.4452
Danemark;anninc;1986;33160.0739
Danemark;anninc;1987;32852.852
Danemark;anninc;1988;32362.2006
Danemark;anninc;1989;32333.9904
Danemark;anninc;1990;32556.8041
Danemark;anninc;1991;32675.9936
Danemark;anninc;1992;33749.5984
Danemark;anninc;1993;33538.4984
Danemark;anninc;1994;34997.5645
Danemark;anninc;1995;36289.179
Danemark;anninc;1996;37302.2791
Danemark;anninc;1997;38216.3897
Danemark;anninc;1998;39139.1771
Danemark;anninc;1999;40282.4396
Danemark;anninc;2000;41276.1333
Danemark;anninc;2001;41617.9143
Danemark;anninc;2002;42018.8667
Danemark;anninc;2003;42331.9507
Danemark;anninc;2004;44214.9415
Danemark;anninc;2005;46450.3899
Danemark;anninc;2006;48453.3215
Danemark;anninc;2007;47862.3262
Danemark;anninc;2008;47354.6492
Danemark;anninc;2009;44580.6789
Danemark;anninc;2010;46200.3502
Danemark;anninc;2011;46320.0794
Danemark;anninc;2012;46071.5845
Danemark;anninc;2013;46805.3025
Danemark;anninc;2014;47967.5587
Danemark;anninc;2015;48061.1305
Danemark;anninc;2016;49029.7356
Danemark;anninc;2017;49981.1564
Danemark;anninc;2018;50853.6184
Danemark;anninc;2019;50526.0483
Danemark;anninc;2020;49625.4291
Danemark;anninc;2021;51816.1709
Danemark;anninc;2022;55798.0459
Danemark;agdpro;1950;15815.9079
Danemark;agdpro;1951;15823.0715
Danemark;agdpro;1952;15879.9045
Danemark;agdpro;1953;16685.46
Danemark;agdpro;1954;16910.8555
Danemark;agdpro;1955;16985.2326
Danemark;agdpro;1956;17075.1855
Danemark;agdpro;1957;18248.2348
Danemark;agdpro;1958;18531.5321
Danemark;agdpro;1959;19766.8744
Danemark;agdpro;1960;20169.4564
Danemark;agdpro;1961;21283.8316
Danemark;agdpro;1962;22258.1612
Danemark;agdpro;1963;22161.5526
Danemark;agdpro;1964;23946.8025
Danemark;agdpro;1965;24710.6247
Danemark;agdpro;1966;25205.1172
Danemark;agdpro;1967;26545.9778
Danemark;agdpro;1968;27751.4275
Danemark;agdpro;1969;29598.907
Danemark;agdpro;1970;29986.5056
Danemark;agdpro;1971;30572.5276
Danemark;agdpro;1972;31784.485
Danemark;agdpro;1973;33006.918
Danemark;agdpro;1974;31519.3244
Danemark;agdpro;1975;31151.2379
Danemark;agdpro;1976;32937.8952
Danemark;agdpro;1977;33481.0306
Danemark;agdpro;1978;34454.7677
Danemark;agdpro;1979;35279.7295
Danemark;agdpro;1980;34646.7999
Danemark;agdpro;1981;33977.6393
Danemark;agdpro;1982;34826.5576
Danemark;agdpro;1983;35699.0302
Danemark;agdpro;1984;36995.3746
Danemark;agdpro;1985;38322.31
Danemark;agdpro;1986;40338.1086
Danemark;agdpro;1987;40066.5039
Danemark;agdpro;1988;39686.799
Danemark;agdpro;1989;39959.0916
Danemark;agdpro;1990;40571.7895
Danemark;agdpro;1991;40930.6912
Danemark;agdpro;1992;41878.1757
Danemark;agdpro;1993;41617.9989
Danemark;agdpro;1994;43338.4374
Danemark;agdpro;1995;44396.3605
Danemark;agdpro;1996;45626.0418
Danemark;agdpro;1997;46965.5057
Danemark;agdpro;1998;47700.4617
Danemark;agdpro;1999;48851.6074
Danemark;agdpro;2000;50657.5335
Danemark;agdpro;2001;50934.0798
Danemark;agdpro;2002;51364.11
Danemark;agdpro;2003;51705.4466
Danemark;agdpro;2004;53200.1615
Danemark;agdpro;2005;54840.5196
Danemark;agdpro;2006;56712.0295
Danemark;agdpro;2007;56930.4095
Danemark;agdpro;2008;57033.4094
Danemark;agdpro;2009;53694.7704
Danemark;agdpro;2010;54826.552
Danemark;agdpro;2011;54525.0229
Danemark;agdpro;2012;54300.7596
Danemark;agdpro;2013;54522.6421
Danemark;agdpro;2014;55198.4372
Danemark;agdpro;2015;56004.6593
Danemark;agdpro;2016;57342.0915
Danemark;agdpro;2017;58488.4333
Danemark;agdpro;2018;59204.0358
Danemark;agdpro;2019;59655.229
Danemark;agdpro;2020;58041.9489
Danemark;agdpro;2021;60459.4935
Danemark;agdpro;2022;64670.7109
France;anninc;1950;10021.2065
France;anninc;1951;10426.8569
France;anninc;1952;10618.8725
